generation,individual,val_loss,n_params,n_layers,architecture
14,3,0.543284,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
14,4,0.543419,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
14,5,0.546906,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
14,6,0.562752,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
14,7,0.564781,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
15,0,0.512156,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
15,1,0.512017,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
15,2,0.526933,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
15,3,0.542353,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
15,4,0.536301,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
15,5,0.542984,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
15,6,0.563662,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
15,7,0.563061,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
16,0,0.507468,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
16,1,0.511350,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
16,2,0.523575,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
16,3,0.531546,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
16,4,0.543121,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
16,5,0.548186,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
16,6,0.567293,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
